timestamp,body_temperature_C,pulse_bpm,motion_level_0_1,pad1_pwm_0_100,pad2_pwm_0_100
2026-02-17 05:24:01.516921,36.76,72,0.313,21,17
2026-02-17 05:24:06.516921,36.731,73,0.179,21,33
2026-02-17 05:24:11.516921,36.717,75,0.277,11,11
2026-02-17 05:24:16.516921,36.689,71,0.044,20,30
2026-02-17 05:24:21.516921,36.688,77,0.738,39,21
2026-02-17 05:24:26.516921,36.688,75,0.323,25,37
2026-02-17 05:24:31.516921,36.698,68,0.081,31,12
2026-02-17 05:24:36.516921,36.673,76,0.302,34,24
2026-02-17 05:24:41.516921,36.674,75,0.172,18,13
2026-02-17 05:24:46.516921,36.649,77,0.299,37,35
2026-02-17 05:24:51.516921,36.699,70,0.115,33,39
2026-02-17 05:24:56.516921,36.711,73,0.169,25,36
2026-02-17 05:25:01.516921,36.662,80,0.802,19,20
2026-02-17 05:25:06.516921,36.687,74,0.077,21,19
2026-02-17 05:25:11.516921,36.666,72,0.122,17,15
2026-02-17 05:25:16.516921,36.701,71,0.017,13,22
2026-02-17 05:25:21.516921,36.64,76,0.458,36,14
2026-02-17 05:25:26.516921,36.656,75,0.294,24,16
2026-02-17 05:25:31.516921,36.655,74,0.287,26,16
2026-02-17 05:25:36.516921,36.627,71,0.146,35,38
2026-02-17 05:25:41.516921,36.636,73,0.196,33,12
2026-02-17 05:25:46.516921,36.596,75,0.38,22,17
2026-02-17 05:25:51.516921,36.578,74,0.119,37,18
2026-02-17 05:25:56.516921,36.57,73,0.204,22,18
2026-02-17 05:26:01.516921,36.566,71,0.26,28,24
2026-02-17 05:26:06.516921,36.532,76,0.346,29,16
2026-02-17 05:26:11.516921,36.534,81,0.681,21,32
2026-02-17 05:26:16.516921,36.538,74,0.141,29,20
2026-02-17 05:26:21.516921,36.535,71,0.086,17,31
2026-02-17 05:26:26.516921,36.514,72,0.326,15,15
2026-02-17 05:26:31.516921,36.547,73,0.162,29,27
2026-02-17 05:26:36.516921,36.535,73,0.189,14,19
2026-02-17 05:26:41.516921,36.535,78,0.272,25,21
2026-02-17 05:26:46.516921,36.557,75,0.187,33,31
2026-02-17 05:26:51.516921,36.544,75,0.226,23,37
2026-02-17 05:26:56.516921,36.489,69,0.21,23,20
2026-02-17 05:27:01.516921,36.52,73,0.211,56,50
2026-02-17 05:27:06.516921,36.515,82,0.699,15,16
2026-02-17 05:27:11.516921,36.497,71,0.1,15,13
2026-02-17 05:27:16.516921,36.553,70,0.21,78,69
2026-02-17 05:27:21.516921,36.562,74,0.306,34,37
2026-02-17 05:27:26.516921,36.549,71,0.205,36,15
2026-02-17 05:27:31.516921,36.535,74,0.243,34,19
2026-02-17 05:27:36.516921,36.514,77,0.333,27,39
2026-02-17 05:27:41.516921,36.506,70,0.111,18,30
2026-02-17 05:27:46.516921,36.507,73,0.124,38,21
2026-02-17 05:27:51.516921,36.544,72,0.177,30,26
2026-02-17 05:27:56.516921,36.476,71,0.027,12,17
2026-02-17 05:28:01.516921,36.481,73,0.275,67,63
2026-02-17 05:28:06.516921,36.51,69,0.0,78,66
2026-02-17 05:28:11.516921,36.539,73,0.175,38,34
2026-02-17 05:28:16.516921,36.538,74,0.255,28,13
2026-02-17 05:28:21.516921,36.521,81,0.429,10,29
2026-02-17 05:28:26.516921,36.481,72,0.15,36,11
2026-02-17 05:28:31.516921,36.52,78,0.277,76,68
2026-02-17 05:28:36.516921,36.516,70,0.171,39,21
2026-02-17 05:28:41.516921,36.502,69,0.196,21,24
2026-02-17 05:28:46.516921,36.463,72,0.204,21,20
2026-02-17 05:28:51.516921,36.514,73,0.153,74,62
2026-02-17 05:28:56.516921,36.51,73,0.133,17,27
2026-02-17 05:29:01.516921,36.523,81,0.456,39,31
2026-02-17 05:29:06.516921,36.517,70,0.084,38,37
2026-02-17 05:29:11.516921,36.499,71,0.232,26,22
2026-02-17 05:29:16.516921,36.512,76,0.279,59,64
2026-02-17 05:29:21.516921,36.464,75,0.214,14,23
2026-02-17 05:29:26.516921,36.483,71,0.174,63,43
2026-02-17 05:29:31.516921,36.493,71,0.192,74,59
2026-02-17 05:29:36.516921,36.514,71,0.162,50,44
2026-02-17 05:29:41.516921,36.513,70,0.272,34,26
2026-02-17 05:29:46.516921,36.494,76,0.215,34,22
2026-02-17 05:29:51.516921,36.542,72,0.114,59,50
2026-02-17 05:29:56.516921,36.524,82,0.674,33,14
2026-02-17 05:30:01.516921,36.492,71,0.093,23,18
2026-02-17 05:30:06.516921,36.527,73,0.214,71,49
2026-02-17 05:30:11.516921,36.547,66,0.159,30,37
2026-02-17 05:30:16.516921,36.499,75,0.32,14,18
2026-02-17 05:30:21.516921,36.535,78,0.327,67,43
2026-02-17 05:30:26.516921,36.508,68,0.161,39,15
2026-02-17 05:30:31.516921,36.489,73,0.278,33,30
2026-02-17 05:30:36.516921,36.491,75,0.203,69,67
2026-02-17 05:30:41.516921,36.522,72,0.143,78,59
2026-02-17 05:30:46.516921,36.487,72,0.091,18,33
2026-02-17 05:30:51.516921,36.507,78,0.318,65,54
2026-02-17 05:30:56.516921,36.49,69,0.0,34,36
2026-02-17 05:31:01.516921,36.528,77,0.37,59,58
2026-02-17 05:31:06.516921,36.533,71,0.117,14,14
2026-02-17 05:31:11.516921,36.501,69,0.12,24,15
2026-02-17 05:31:16.516921,36.497,78,0.616,36,34
2026-02-17 05:31:21.516921,36.595,73,0.23,74,62
2026-02-17 05:31:26.516921,36.657,74,0.289,19,38
2026-02-17 05:31:31.516921,36.661,70,0.015,23,32
2026-02-17 05:31:36.516921,36.673,71,0.185,27,19
2026-02-17 05:31:41.516921,36.684,69,0.0,26,30
2026-02-17 05:31:46.516921,36.67,69,0.094,11,39
2026-02-17 05:31:51.516921,36.671,77,0.288,13,19
2026-02-17 05:31:56.516921,36.699,82,0.635,25,26
2026-02-17 05:32:01.516921,36.694,74,0.153,12,39
2026-02-17 05:32:06.516921,36.679,69,0.185,11,35
2026-02-17 05:32:11.516921,36.68,73,0.223,38,34
2026-02-17 05:32:16.516921,36.664,74,0.263,20,12
2026-02-17 05:32:21.516921,36.667,73,0.3,28,15
2026-02-17 05:32:26.516921,36.683,77,0.286,14,17
2026-02-17 05:32:31.516921,36.69,78,0.325,30,21
2026-02-17 05:32:36.516921,36.662,76,0.144,30,25
2026-02-17 05:32:41.516921,36.674,71,0.08,39,28
2026-02-17 05:32:46.516921,36.655,70,0.202,12,34
2026-02-17 05:32:51.516921,36.656,78,0.285,13,18
2026-02-17 05:32:56.516921,36.685,74,0.102,31,30
2026-02-17 05:33:01.516921,36.661,74,0.16,21,17
2026-02-17 05:33:06.516921,36.645,72,0.236,14,34
2026-02-17 05:33:11.516921,36.645,72,0.208,14,16
